treatment,video,song_rank,video_length,day_posted,time_posted,time_data_collected,views,likes,comments,favorites,shared,end_of_experiments,views,likes,comments,favorites,shared
T,Video #15,4,0:07:00,3/2/2024,12:00 PM,1:00 PM,1,0,0,0,0,3/4/2024 20:00:00,3,1,0,0,0
T,Video #28,1,0:23:00,3/2/2024,1:00 PM,2:00 PM,2,0,0,0,0,3/4/2024 20:00:00,2,0,0,0,0
T,Video #2,1,0:22:00,3/2/2024,2:00 PM,3:00 PM,2,1,0,0,0,3/4/2024 20:00:00,2,1,0,0,0
T,Video #20,5,0:14:00,3/2/2024,3:00 PM,4:00 PM,0,0,0,0,0,3/4/2024 20:00:00,1,0,0,0,0
C,Video #6,,0:06:00,3/2/2024,4:00 PM,5:00 PM,2,0,0,0,0,3/4/2024 20:00:00,2,0,0,0,0
C,Video #13,,0:05:00,3/2/2024,5:00 PM,6:00 PM,1,0,0,0,0,3/4/2024 20:00:00,7,2,0,0,0
C,Video #1,,0:16:00,3/2/2024,6:00 PM,7:00 PM,0,0,0,0,0,3/4/2024 20:00:00,1,0,0,0,0
T,Video #27,3,0:05:00,3/2/2024,7:00 PM,8:00 PM,2,0,0,0,0,3/4/2024 20:00:00,4,1,0,0,0
T,Video #16,10,0:14:00,3/2/2024,8:00 PM,9:00 PM,1,0,0,0,0,3/4/2024 20:00:00,3,0,0,0,0
C,Video #2,,0:22:00,3/2/2024,9:00 PM,10:00 PM,1,0,0,0,0,3/4/2024 20:00:00,2,2,0,0,0
C,Video #4,,0:14:00,3/2/2024,10:00 PM,11:00 PM,0,0,0,0,0,3/4/2024 20:00:00,7,2,0,0,0
T,Video #22,9,0:14:00,3/3/2024,11:00 AM,12:00 PM,0,0,0,0,0,3/4/2024 20:00:00,1,0,0,0,0
T,Video #19,8,0:07:00,3/3/2024,12:00 PM,1:00 PM,1,1,0,0,0,3/4/2024 20:00:00,4,1,0,0,0
C,Video #30,,0:15:00,3/3/2024,1:00 PM,2:00 PM,0,0,0,0,0,3/4/2024 20:00:00,3,0,0,0,0
T,Video #14,2,0:07:00,3/3/2024,2:00 PM,3:00 PM,2,0,0,0,0,3/4/2024 20:00:00,6,1,0,0,0
